#Distancia emision (mm) 	 Distancia captura desde emision 	 Distancia captura en detector (mm)
1.4681468	9.4129413	10.8810881
0.6840684	10.3330333	11.0171017
2.1922192	9.3209321	11.5131513
3.8563856	6.7046705	10.5610561
2.0642064	8.5088509	10.5730573
1.4961496	6.2686269	7.7647765
1.5521552	9.2049205	10.7570757
3.1283128	7.4207421	10.5490549
2.6602660	8.1248125	10.7850785
4.8644864	0.4040404	5.2685269
4.5564556	6.8086809	11.3651365
0.2000200	10.3930393	10.5930593
2.6962696	7.9847985	10.6810681
3.5883588	7.9487949	11.5371537
4.2684268	6.3286329	10.5970597
0.8480848	9.7849785	10.6330633
1.3681368	9.8049805	11.1731173
1.0161016	9.9769977	10.9930993
2.3442344	8.3048305	10.6490649
3.8603860	6.7486749	10.6090609
1.7561756	9.0969097	10.8530853
2.6922692	7.9367937	10.6290629
4.4644464	6.3366337	10.8010801
1.9641964	8.8648865	10.8290829
3.7483748	7.7487749	11.4971497
4.8444844	5.7045705	10.5490549
2.0762076	9.9289929	12.0052005
2.5242524	8.6688669	11.1931193
3.7683768	7.3607361	11.1291129
4.8644864	5.7845785	10.6490649
4.9924992	5.5845585	10.5770577
2.5802580	8.6768677	11.2571257
1.2081208	9.9049905	11.1131113
1.8041804	9.4849485	11.2891289
4.3684368	6.8966897	11.2651265
0.0880088	11.9651965	12.0532053
1.4881488	9.8929893	11.3811381
4.7484748	5.8845885	10.6330633
4.4924492	0.1320132	4.6244624
0.2160216	10.9370937	11.1531153
3.9803980	7.2007201	11.1811181
4.1084108	3.8883888	7.9967997
0.5560556	10.3650365	10.9210921
2.9962996	7.9647965	10.9610961
3.9563956	6.8326833	10.7890789
3.4643464	7.4247425	10.8890889
4.3964396	6.2806281	10.6770677
4.2404240	7.4167417	11.6571657
1.6481648	9.2209221	10.8690869
0.1520152	10.5250525	10.6770677
1.5801580	10.4290429	12.0092009
4.8124812	5.7125713	10.5250525
0.2880288	10.7690769	11.0571057
3.3803380	7.2087209	10.5890589
1.0681068	9.5409541	10.6090609
4.2924292	6.9606961	11.2531253
1.9161916	3.1083108	5.0245025
4.3604360	6.6846685	11.0451045
0.9920992	9.7969797	10.7890789
3.9443944	1.3241324	5.2685269
4.6604660	6.1166117	10.7770777
2.6242624	8.0528053	10.6770677
1.7801780	6.1406141	7.9207921
0.5600560	10.3010301	10.8610861
2.9562956	8.1048105	11.0611061
3.1923192	8.0728073	11.2651265
0.3480348	2.7522752	3.1003100
1.3601360	9.1969197	10.5570557
3.7083708	0.0920092	3.8003800
1.6441644	9.5969597	11.2411241
0.9760976	10.7450745	11.7211721
1.4401440	9.6449645	11.0851085
4.2724272	6.6926693	10.9650965
0.3040304	1.5041504	1.8081808
3.8923892	6.7846785	10.6770677
0.9560956	9.6849685	10.6410641
2.9842984	0.3720372	3.3563356
0.8960896	10.3370337	11.2331233
1.7761776	9.7089709	11.4851485
0.3040304	10.7930793	11.0971097
3.1283128	7.8167817	10.9450945
4.8964896	6.2006201	11.0971097
3.9323932	7.7647765	11.6971697
2.7682768	2.1162116	4.8844884
0.8600860	10.1850185	11.0451045
0.1760176	10.3450345	10.5210521
0.9760976	10.3850385	11.3611361
1.7041704	10.8530853	12.5572557
2.2162216	9.8729873	12.0892089
4.8524852	5.8805881	10.7330733
4.2164216	7.9447945	12.1612161
0.7120712	10.1410141	10.8530853
0.2600260	10.2890289	10.5490549
2.1322132	0.2840284	2.4162416
2.0722072	8.5288529	10.6010601
1.2281228	10.0810081	11.3091309
3.4643464	7.2487249	10.7130713
0.3480348	10.3890389	10.7370737
3.2843284	7.6967697	10.9810981
3.2803280	7.8447845	11.1251125
1.0921092	10.3770377	11.4691469
4.9644964	5.9325933	10.8970897
0.8760876	9.6569657	10.5330533
3.8243824	7.9007901	11.7251725
0.9600960	1.4921492	2.4522452
2.0002000	8.6248625	10.6250625
4.6564656	5.9485949	10.6050605
2.6082608	8.1008101	10.7090709
2.9562956	7.6127613	10.5690569
3.7763776	6.7326733	10.5090509
1.8561856	9.8169817	11.6731673
4.6044604	5.9845985	10.5890589
1.1201120	3.1883188	4.3084308
2.4442444	8.1608161	10.6050605
2.8522852	7.8727873	10.7250725
2.9602960	8.6488649	11.6091609
1.6521652	2.7962796	4.4484448
1.0281028	9.7609761	10.7890789
0.6240624	10.0530053	10.6770677
1.5321532	10.4210421	11.9531953
1.2241224	9.3649365	10.5890589
4.3684368	6.7126713	11.0811081
3.6363636	7.8447845	11.4811481
