# X(mm) 	 Y(mm) 	 Z(mm) 	 color
-10.1233	-2.77014	75.7555	-2
-10.9321	-2.69658	77.9804	-2
-11.7409	-2.62302	80.2052	-2
-12.5497	-2.54946	82.43	-2
-13.3585	-2.4759	84.6548	-2
-14.1673	-2.40234	86.8796	-2
3.8	4.6	52.275	2
5.21143	2.79584	52.8769	2
6.62286	0.991675	53.4788	2
8.0343	-0.812487	54.0807	2
9.44573	-2.61665	54.6826	2
10.8572	-4.42081	55.2845	2
12.2686	-6.22497	55.8864	2
13.68	-8.02914	56.4883	2
15.0915	-9.8333	57.0901	2
16.5029	-11.6375	57.692	2
17.9143	-13.4416	58.2939	2
19.3258	-15.2458	58.8958	2
20.7372	-17.0499	59.4977	2
22.1486	-18.8541	60.0996	2
23.5601	-20.6583	60.7015	2
24.9715	-22.4624	61.3034	2
26.3829	-24.2666	61.9053	2
27.7944	-26.0708	62.5072	2
29.2058	-27.8749	63.1091	2
30.6172	-29.6791	63.711	2
-2	4.6	41.9943	2
-3.10153	3.04523	40.5876	2
-4.20305	1.49046	39.1809	2
-5.30458	-0.064316	37.7742	2
-6.4061	-1.61909	36.3675	2
-7.50763	-3.17386	34.9609	2
-8.60915	-4.72863	33.5542	2
-9.71068	-6.2834	32.1475	2
-10.8122	-7.83818	30.7408	2
-11.9137	-9.39295	29.3341	2
-13.0153	-10.9477	27.9275	2
-14.1168	-12.5025	26.5208	2
-15.2183	-14.0573	25.1141	2
-16.3198	-15.612	23.7074	2
-17.4214	-17.1668	22.3008	2
-18.5229	-18.7216	20.8941	2
-19.6244	-20.2764	19.4874	2
-20.7259	-21.8311	18.0807	2
-21.8275	-23.3859	16.674	2
-22.929	-24.9407	15.2674	2
-4.4	0.6	51.9265	2
-2.26516	0.225169	52.8812	2
-0.130318	-0.149663	53.8358	2
2.00452	-0.524494	54.7905	2
4.13936	-0.899326	55.7451	2
6.27421	-1.27416	56.6998	2
8.40905	-1.64899	57.6545	2
10.5439	-2.02382	58.6091	2
12.6787	-2.39865	59.5638	2
14.8136	-2.77348	60.5184	2
16.9484	-3.14831	61.4731	2
19.0833	-3.52315	62.4277	2
21.2181	-3.89798	63.3824	2
23.3529	-4.27281	64.3371	2
25.4878	-4.64764	65.2917	2
27.6226	-5.02247	66.2464	2
29.7575	-5.3973	67.201	2
31.8923	-5.77213	68.1557	2
34.0271	-6.14696	69.1104	2
36.162	-6.5218	70.065	2
-3.8	2.4	53.669	2
-3.47318	3.27763	51.4936	2
-3.14636	4.15526	49.3182	2
-2.81954	5.03289	47.1428	2
-2.49272	5.91052	44.9674	2
-2.1659	6.78815	42.792	2
-1.83908	7.66578	40.6166	2
-1.51226	8.54341	38.4412	2
-1.18544	9.42104	36.2658	2
-0.858619	10.2987	34.0904	2
-0.531799	11.1763	31.915	2
-0.204979	12.0539	29.7396	2
0.121841	12.9316	27.5642	2
0.448662	13.8092	25.3888	2
0.775482	14.6868	23.2134	2
1.1023	15.5644	21.038	2
1.42912	16.4421	18.8626	2
1.75594	17.3197	16.6872	2
2.08276	18.1973	14.5118	2
2.40958	19.075	12.3364	2
-1	-4.6	41.9943	2
-2.15798	-6.09424	43.421	2
-3.31597	-7.58848	44.8478	2
-4.47395	-9.08272	46.2746	2
-5.63194	-10.577	47.7014	2
-6.78992	-12.0712	49.1282	2
-7.94791	-13.5654	50.555	2
-9.10589	-15.0597	51.9818	2
-10.2639	-16.5539	53.4086	2
-11.4219	-18.0481	54.8354	2
-12.5798	-19.5424	56.2622	2
-13.7378	-21.0366	57.689	2
-14.8958	-22.5309	59.1158	2
-16.0538	-24.0251	60.5426	2
-17.2118	-25.5193	61.9694	2
-18.3698	-27.0136	63.3962	2
-19.5277	-28.5078	64.823	2
-20.6857	-30.0021	66.2498	2
-21.8437	-31.4963	67.6766	2
-23.0017	-32.9905	69.1033	2
2.4	-5	32.062	2
3.07896	-4.00113	30.0247	2
3.75792	-3.00226	27.9874	2
4.43687	-2.00338	25.95	2
5.11583	-1.00451	23.9127	2
5.79479	-0.0056394	21.8754	2
6.47375	0.993233	19.8381	2
7.1527	1.9921	17.8007	2
7.83166	2.99098	15.7634	2
8.51062	3.98985	13.7261	2
9.18958	4.98872	11.6888	2
9.86854	5.98759	9.65144	2
10.5475	6.98647	7.61411	2
11.2265	7.98534	5.57679	2
11.9054	8.98421	3.53946	2
12.5844	9.98308	1.50214	2
13.2633	10.982	-0.535184	2
13.9423	11.9808	-2.57251	2
14.6212	12.9797	-4.60983	2
15.3002	13.9786	-6.64716	2
-5	4.2	38.8578	2
-5.80649	5.95504	37.4871	2
-6.61299	7.71009	36.1164	2
-7.41948	9.46513	34.7457	2
-8.22597	11.2202	33.375	2
-9.03247	12.9752	32.0043	2
-9.83896	14.7303	30.6336	2
-10.6455	16.4853	29.2629	2
-11.4519	18.2403	27.8922	2
-12.2584	19.9954	26.5215	2
-13.0649	21.7504	25.1508	2
-13.8714	23.5055	23.7801	2
-14.6779	25.2605	22.4094	2
-15.4844	27.0156	21.0387	2
-16.2909	28.7706	19.668	2
-17.0974	30.5256	18.2973	2
-17.9039	32.2807	16.9266	2
-18.7104	34.0357	15.5559	2
-19.5169	35.7908	14.1852	2
-20.3234	37.5458	12.8145	2
-1.4	1.6	49.1385	2
-1.21576	3.96123	49.1457	2
-1.03152	6.32247	49.1529	2
-0.847287	8.6837	49.1601	2
-0.663049	11.0449	49.1673	2
-0.478812	13.4062	49.1745	2
-0.294574	15.7674	49.1817	2
-0.110336	18.1286	49.1889	2
0.0739012	20.4899	49.1961	2
0.258139	22.8511	49.2033	2
0.442377	25.2123	49.2105	2
0.626614	27.5736	49.2177	2
0.810852	29.9348	49.2249	2
0.995089	32.296	49.2321	2
1.17933	34.6573	49.2393	2
1.36356	37.0185	49.2465	2
1.5478	39.3797	49.2537	2
1.73204	41.741	49.2609	2
1.91628	44.1022	49.2681	2
2.10052	46.4634	49.2753	2
-4	2	35.0243	2
-1.64637	1.88069	35.26	2
0.707264	1.76138	35.4958	2
3.0609	1.64207	35.7316	2
5.41453	1.52276	35.9674	2
7.76816	1.40345	36.2032	2
10.1218	1.28414	36.439	2
12.4754	1.16483	36.6748	2
14.8291	1.04552	36.9106	2
17.1827	0.926207	37.1464	2
19.5363	0.806897	37.3822	2
21.89	0.687586	37.618	2
24.2436	0.568276	37.8538	2
26.5972	0.448965	38.0896	2
28.9508	0.329655	38.3254	2
31.3045	0.210345	38.5612	2
33.6581	0.0910344	38.797	2
36.0117	-0.0282759	39.0328	2
38.3654	-0.147586	39.2686	2
40.719	-0.266897	39.5044	2
3.6	-0.6	44.608	2
1.75956	0.163839	43.3279	2
-0.0808793	0.927677	42.0477	2
-1.92132	1.69152	40.7676	2
-3.76176	2.45535	39.4875	2
-5.6022	3.21919	38.2073	2
-7.44264	3.98303	36.9272	2
-9.28308	4.74687	35.647	2
-11.1235	5.51071	34.3669	2
-12.964	6.27455	33.0868	2
-14.8044	7.03839	31.8066	2
-16.6448	7.80222	30.5265	2
-18.4853	8.56606	29.2464	2
-20.3257	9.3299	27.9662	2
-22.1662	10.0937	26.6861	2
-24.0066	10.8576	25.4059	2
-25.847	11.6214	24.1258	2
-27.6875	12.3853	22.8457	2
-29.5279	13.1491	21.5655	2
-31.3684	13.9129	20.2854	2
3.8	-0.8	54.366	2
5.22999	0.579287	55.6552	2
6.65999	1.95857	56.9445	2
8.08998	3.33786	58.2337	2
9.51997	4.71715	59.5229	2
10.95	6.09643	60.8121	2
12.38	7.47572	62.1014	2
13.81	8.85501	63.3906	2
15.2399	10.2343	64.6798	2
16.6699	11.6136	65.969	2
18.0999	12.9929	67.2583	2
19.5299	14.3722	68.5475	2
20.9599	15.7514	69.8367	2
22.3899	17.1307	71.126	2
23.8199	18.51	72.4152	2
25.2499	19.8893	73.7044	2
26.6799	21.2686	74.9936	2
28.1099	22.6479	76.2829	2
29.5399	24.0272	77.5721	2
30.9699	25.4064	78.8613	2
-1	-4.6	39.9033	2
0.320084	-4.45671	41.8644	2
1.64017	-4.31342	43.8256	2
2.96025	-4.17013	45.7868	2
4.28034	-4.02685	47.748	2
5.60042	-3.88356	49.7092	2
6.92051	-3.74027	51.6704	2
8.24059	-3.59698	53.6316	2
9.56067	-3.45369	55.5928	2
10.8808	-3.3104	57.554	2
12.2008	-3.16711	59.5151	2
